#genome	all_coding_data	all_data	asm_name	ass_id	assembly_accession	assembly_level	bioproject	biosample	dwlf	faa_lname	ffn_lname	fna_lname	frn_lname	ftp_path	gbrs_paired_asm	genome	genome_rep	infraspecific_name	isolate	organism_name	outdir	paired_asm_comp	refseq_category	release_type	score_faa	score_fna	score_rrna	score_trna	seq_rel_date	species_taxid	submitter	taxid	taxonomy	version_status	wgs_master
G000840665	Y	N	ViralProj14293	G000840665	GCF_000840665.2	Complete Genome	PRJNA14293		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000840665.2_ViralProj14293	G000840665.faa.bz2	G000840665.ffn.bz2	G000840665.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000840665.2_ViralProj14293	na	G000840665	Full	strain=Stx1 phage		Escherichia Stx1 converting phage	microbes	na	na	Major	0.1	1	0	0	2003/06/19	374810	NA	194948	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Podoviridae_noname|s__Enterobacteria_phage_933W_sensu_lato|t__Escherichia_Stx1_converting_phage	latest	NA
G001008435	Y	N	ViralProj283618	G001008435	GCF_001008435.1	Chromosome	PRJNA283618		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001008435.1_ViralProj283618	G001008435.faa.bz2	G001008435.ffn.bz2	G001008435.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001008435.1_ViralProj283618	na	G001008435	Full		1p	Torque teno sus virus 1b	microbes	na	na	Major	0.1	0.222	0	0	2005/02/04	687387	NA	687387	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Anelloviridae|g__Iotatorquevirus|s__Torque_teno_sus_virus_1b	latest	NA
G000927115	Y	N	ViralProj264924	G000927115	GCF_000927115.1	Complete Genome	PRJNA264924		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000927115.1_ViralProj264924	G000927115.faa.bz2	G000927115.ffn.bz2	G000927115.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000927115.1_ViralProj264924	na	G000927115	Full	strain=TL8K		Tailam virus	microbes	na	na	Major	0.1	1	0	0	2011/11/29	1117633	NA	1117633	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales|f__Paramyxoviridae|g__Paramyxoviridae_noname|s__Tailam_virus	latest	NA
G000873345	Y	N	ViralProj19829	G000873345	GCF_000873345.1	Complete Genome	PRJNA19829		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000873345.1_ViralProj19829	G000873345.faa.bz2	G000873345.ffn.bz2	G000873345.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000873345.1_ViralProj19829	na	G000873345	Full			Tomato yellow leaf curl Vietnam betasatellite	microbes	na	na	Major	0.1	1	0	0	2006/06/15	447604	NA	447604	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Tomato_yellow_leaf_curl_Vietnam_betasatellite	latest	NA
G001042115	Y	Y	ViralProj287964	G001042115	GCF_001042115.1	Complete Genome	PRJNA287964		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001042115.1_ViralProj287964	G001042115.faa.bz2	G001042115.ffn.bz2	G001042115.fna.bz2	G001042115.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001042115.1_ViralProj287964	na	G001042115	Full			Yersinia phage PST	microbes	na	na	Major	0.1	1	0.1	0.1	2013/07/18	1351740	NA	1351740	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus|s__Yersinia_phage_PST	latest	NA
G000889615	Y	N	ViralProj61855	G000889615	GCF_000889615.1	Complete Genome	PRJNA61855		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000889615.1_ViralProj61855	G000889615.faa.bz2	G000889615.ffn.bz2	G000889615.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000889615.1_ViralProj61855	na	G000889615	Full		K87	Murine adenovirus 2	microbes	na	na	Major	0.1	1	0	0	2010/12/08	1146873	NA	931972	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Murine_mastadenovirus_B|t__Murine_adenovirus_2	latest	NA
G000922615	Y	N	ViralProj261537	G000922615	GCF_000922615.1	Complete Genome	PRJNA261537		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000922615.1_ViralProj261537	G000922615.faa.bz2	G000922615.ffn.bz2	G000922615.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000922615.1_ViralProj261537	na	G000922615	Full		AnCFV	Ancient caribou feces associated virus	microbes	na	na	Major	0.1	1	0	0	2014/09/08	1542745	NA	1542745	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Ancient_caribou_feces_associated_virus	latest	NA
G000863045	Y	N	ViralMultiSegProj15319	G000863045	GCF_000863045.1	Complete Genome	PRJNA15319	SAMEA3283064	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000863045.1_ViralMultiSegProj15319	G000863045.faa.bz2	G000863045.ffn.bz2	G000863045.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000863045.1_ViralMultiSegProj15319	na	G000863045	Full	strain=DOBV/Ano-Poroia/Afl9/1999		Dobrava-Belgrade virus	microbes	na	na	Major	0.1	0.372	0	0	2003/03/27	12506	NA	12506	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bunyaviridae|g__Hantavirus|s__Dobrava_Belgrade_virus	latest	NA
G000921015	Y	N	ViralProj252717	G000921015	GCF_000921015.1	Complete Genome	PRJNA252717		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000921015.1_ViralProj252717	G000921015.faa.bz2	G000921015.ffn.bz2	G000921015.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000921015.1_ViralProj252717	na	G000921015	Full		Pennsylvania 47	Bovine herpesvirus 6	microbes	na	na	Major	0.1	1	0	0	2014/06/03	1504288	NA	1504288	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Bovine_herpesvirus_6	latest	NA
G000886235	Y	N	ViralProj42951	G000886235	GCF_000886235.1	Complete Genome	PRJNA42951		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000886235.1_ViralProj42951	G000886235.faa.bz2	G000886235.ffn.bz2	G000886235.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000886235.1_ViralProj42951	na	G000886235	Full			Pseudomonas phage LUZ7	microbes	na	na	Major	0.1	1	0	0	2009/09/22	655097	NA	655097	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__N4likevirus|s__Pseudomonas_phage_LUZ7	latest	NA
G000882935	Y	N	ViralProj38081	G000882935	GCF_000882935.1	Complete Genome	PRJNA38081		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000882935.1_ViralProj38081	G000882935.faa.bz2	G000882935.ffn.bz2	G000882935.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000882935.1_ViralProj38081	na	G000882935	Full	strain=DSS3P2		Silicibacter phage DSS3phi2	microbes	na	na	Major	0.1	1	0	0	2009/01/15	490912	NA	490912	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__N4likevirus|s__Silicibacter_phage_DSS3phi2	latest	NA
G000872565	Y	N	ViralMultiSegProj28323	G000872565	GCF_000872565.1	Complete Genome	PRJNA28323		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000872565.1_ViralMultiSegProj28323	G000872565.faa.bz2	G000872565.ffn.bz2	G000872565.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000872565.1_ViralMultiSegProj28323	na	G000872565	Full	strain=CLHP-2472		Allpahuayo mammarenavirus	microbes	na	na	Major	0.1	0.51	0	0	2008/01/09	144752	NA	144752	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Arenaviridae|g__Mammarenavirus|s__Allpahuayo_mammarenavirus	latest	NA
G000903475	Y	N	ViralProj181251	G000903475	GCF_000903475.1	Complete Genome	PRJNA181251		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000903475.1_ViralProj181251	G000903475.faa.bz2	G000903475.ffn.bz2	G000903475.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000903475.1_ViralProj181251	na	G000903475	Full	strain=CP26F		Clostridium phage phiCP26F	microbes	na	na	Major	0.1	1	0	0	2009/09/17	673376	NA	673376	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Clostridium_phage_phiCP26F	latest	NA
G000837065	Y	N	ViralProj14071	G000837065	GCF_000837065.1	Complete Genome	PRJNA14071		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837065.1_ViralProj14071	G000837065.faa.bz2	G000837065.ffn.bz2	G000837065.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837065.1_ViralProj14071	na	G000837065	Full	strain=Kilham		Murine pneumotropic virus	microbes	na	na	Major	0.1	1	0	0	2003/02/13	229278	NA	229278	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus|s__Murine_pneumotropic_virus	latest	NA
G000911815	Y	N	ViralProj215111	G000911815	GCF_000911815.1	Complete Genome	PRJNA215111		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000911815.1_ViralProj215111	G000911815.faa.bz2	G000911815.ffn.bz2	G000911815.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000911815.1_ViralProj215111	na	G000911815	Full			Mycobacterium phage KayaCho	microbes	na	na	Major	0.1	1	0	0	2013/08/08	1340830	NA	1340830	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_KayaCho	latest	NA
G000927215	Y	N	ViralProj265890	G000927215	GCF_000927215.1	Complete Genome	PRJNA265890		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000927215.1_ViralProj265890	G000927215.faa.bz2	G000927215.ffn.bz2	G000927215.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000927215.1_ViralProj265890	na	G000927215	Full		MRM4059	Almpiwar virus	microbes	na	na	Major	0.1	1	0	0	2014/05/05	318843	NA	318843	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales|f__Rhabdoviridae|g__Rhabdoviridae_noname|s__Almpiwar_virus	latest	NA
G000864745	Y	N	ViralMultiSegProj15470	G000864745	GCF_000864745.1	Complete Genome	PRJNA15470		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000864745.1_ViralMultiSegProj15470	G000864745.faa.bz2	G000864745.ffn.bz2	G000864745.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000864745.1_ViralMultiSegProj15470	na	G000864745	Full	strain=Fny		Cucumber mosaic virus	microbes	na	na	Major	0.1	0.301	0	0	1993/04/29	12305	NA	12305	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Cucumovirus|s__Cucumber_mosaic_virus	latest	NA
G000879235	Y	N	ViralMultiSegProj29223	G000879235	GCF_000879235.1	Complete Genome	PRJNA29223		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000879235.1_ViralMultiSegProj29223	G000879235.faa.bz2	G000879235.ffn.bz2	G000879235.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000879235.1_ViralMultiSegProj29223	na	G000879235	Full	strain=810419		Chapare mammarenavirus	microbes	na	na	Major	0.1	0.511	0	0	2008/01/31	499556	NA	499556	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Arenaviridae|g__Mammarenavirus|s__Chapare_mammarenavirus	latest	NA
G000879555	Y	N	ViralMultiSegProj30185	G000879555	GCF_000879555.1	Complete Genome	PRJNA30185		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000879555.1_ViralMultiSegProj30185	G000879555.faa.bz2	G000879555.ffn.bz2	G000879555.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000879555.1_ViralMultiSegProj30185	na	G000879555	Full		BR:Coi22:07	Tomato common mosaic virus	microbes	na	na	Major	0.1	0.336	0	0	2008/06/04	536084	NA	536084	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Geminiviridae|g__Begomovirus|s__Tomato_common_mosaic_virus	latest	NA
G001190255	Y	N	ViralProj291258	G001190255	GCF_001190255.1	Complete Genome	PRJNA291258		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001190255.1_ViralProj291258	G001190255.faa.bz2	G001190255.ffn.bz2	G001190255.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001190255.1_ViralProj291258	na	G001190255	Full		Fen418_41	Microviridae Fen418_41	microbes	na	na	Major	0.1	1	0	0	2015/05/22	1655653	NA	1655653	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Microviridae|g__Microviridae_noname|s__Microviridae_Fen418_41	latest	NA
G000874125	Y	N	ViralProj20619	G000874125	GCF_000874125.1	Complete Genome	PRJNA20619		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000874125.1_ViralProj20619	G000874125.faa.bz2	G000874125.ffn.bz2	G000874125.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000874125.1_ViralProj20619	na	G000874125	Full		AC	Basella rugose mosaic virus	microbes	na	na	Major	0.1	1	0	0	2006/08/09	373398	NA	373398	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Basella_rugose_mosaic_virus	latest	NA
G000918355	Y	N	ViralProj249090	G000918355	GCF_000918355.1	Complete Genome	PRJNA249090		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000918355.1_ViralProj249090	G000918355.faa.bz2	G000918355.ffn.bz2	G000918355.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000918355.1_ViralProj249090	na	G000918355	Full			Escherichia phage e4/1c	microbes	na	na	Major	0.1	1	0	0	2014/05/02	1495286	NA	1495286	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Escherichia_phage_e4_1c	latest	NA
G000915655	Y	N	ViralProj240015	G000915655	GCF_000915655.1	Complete Genome	PRJNA240015		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915655.1_ViralProj240015	G000915655.faa.bz2	G000915655.ffn.bz2	G000915655.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915655.1_ViralProj240015	na	G000915655	Full			Mycobacterium phage 32HC	microbes	na	na	Major	0.1	1	0	0	2014/02/21	1445729	NA	1445729	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_32HC	latest	NA
G001021275	Y	N	ViralProj286009	G001021275	GCF_001021275.1	Complete Genome	PRJNA286009		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001021275.1_ViralProj286009	G001021275.faa.bz2	G001021275.ffn.bz2	G001021275.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001021275.1_ViralProj286009	na	G001021275	Full		1	Phytophthora parasitica virus	microbes	na	na	Major	0.1	1	0	0	2015/02/10	1608451	NA	1608451	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Phytophthora_parasitica_virus	latest	NA
G000874785	Y	N	ViralProj30965	G000874785	GCF_000874785.1	Complete Genome	PRJNA30965		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000874785.1_ViralProj30965	G000874785.faa.bz2	G000874785.ffn.bz2	G000874785.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000874785.1_ViralProj30965	na	G000874785	Full			Iodobacteriophage phiPLPE	microbes	na	na	Major	0.1	1	0	0	2008/08/08	551895	NA	551895	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Iodobacteriophage_phiPLPE	latest	NA
G000904615	Y	N	ViralProj195929	G000904615	GCF_000904615.1	Complete Genome	PRJNA195929		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000904615.1_ViralProj195929	G000904615.faa.bz2	G000904615.ffn.bz2	G000904615.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000904615.1_ViralProj195929	na	G000904615	Full		Sikar M 2	Ageratum leaf curl betasatellite	microbes	na	na	Major	0.1	1	0	0	2013/03/22	1175505	NA	1175505	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Ageratum_leaf_curl_betasatellite	latest	NA
G000928935	Y	N	ViralProj269775	G000928935	GCF_000928935.1	Complete Genome	PRJNA269775		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000928935.1_ViralProj269775	G000928935.faa.bz2	G000928935.ffn.bz2	G000928935.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000928935.1_ViralProj269775	na	G000928935	Full		Cloud Nine	Switchgrass mosaic-associated virus 1	microbes	na	na	Major	0.1	1	0	0	2014/10/10	1571533	NA	1571533	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Geminiviridae|g__Mastrevirus|s__Switchgrass_mosaic_associated_virus_1	latest	NA
G000900055	Y	N	ViralProj174774	G000900055	GCF_000900055.1	Complete Genome	PRJNA174774		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000900055.1_ViralProj174774	G000900055.faa.bz2	G000900055.ffn.bz2	G000900055.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000900055.1_ViralProj174774	na	G000900055	Full			Crocuta crocuta papillomavirus 1	microbes	na	na	Major	0.1	1	0	0	2011/10/28	1513272	NA	1104917	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Papillomaviridae|g__Lambdapapillomavirus|s__Lambdapapillomavirus_5|t__Crocuta_crocuta_papillomavirus_1	latest	NA
